archive_type,canonical_key,found_in_runs,found_in_seeds,duplicate_count,run_id,master_seed,derived_seed,fluids,fractions,COP,VHC,W_comp,pareto_rank,crowding_distance
empirical_master_pareto_front,"[[""R123"", 16], [""R1234ZEZ"", 22], [""R21"", 4], [""R245CA"", 4], [""RE347MCCHFE7000"", 4]]",62,2952854422,1,62,123456781,2952854422,R123&R1234ZEZ&R21&R245CA&RE347MCCHFE7000,0.320000;0.440000;0.080000;0.080000;0.080000,7.25668415303,3895538.24054,68901.9929014,0,inf
empirical_master_pareto_front,"[[""R1233ZDE"", 1], [""R1234ZEZ"", 7], [""R142B"", 23], [""R21"", 18], [""R245CA"", 1]]",62,2952854422,1,62,123456781,2952854422,R1233ZDE&R1234ZEZ&R142B&R21&R245CA,0.020000;0.140000;0.460000;0.360000;0.020000,4.54078892887,6425518.39007,110113.023933,0,inf
empirical_master_pareto_front,"[[""R1234ZEZ"", 4], [""R142B"", 7], [""R21"", 34], [""R245CA"", 2], [""R245FA"", 3]]",85,2788221392,1,85,123456781,2788221392,R1234ZEZ&R142B&R21&R245CA&R245FA,0.080000;0.140000;0.680000;0.040000;0.060000,4.89228586219,6139686.24619,102201.713899,0,1.05747097897
empirical_master_pareto_front,"[[""R123"", 1], [""R1234ZEZ"", 3], [""R142B"", 26], [""R21"", 17], [""R245FA"", 3]]",90,4124633306,1,90,123456781,4124633306,R123&R1234ZEZ&R142B&R21&R245FA,0.020000;0.060000;0.520000;0.340000;0.060000,4.51777937763,6471388.02056,110673.841772,0,0.616808491055
empirical_master_pareto_front,"[[""R123"", 1], [""R1234ZEZ"", 3], [""R21"", 43], [""R245CA"", 2], [""R245FA"", 1]]",94,3627974716,1,94,123456781,3627974716,R123&R1234ZEZ&R21&R245CA&R245FA,0.020000;0.060000;0.860000;0.040000;0.020000,5.10939185056,5968545.71552,97859.0044813,0,inf
empirical_master_pareto_front,"[[""R123"", 1], [""R1234ZEZ"", 4], [""R142B"", 6], [""R21"", 36], [""R245FA"", 3]]",94,3627974716,1,94,123456781,3627974716,R123&R1234ZEZ&R142B&R21&R245FA,0.020000;0.080000;0.120000;0.720000;0.060000,4.92173028359,6134453.84114,101590.288616,0,0.882573446445
empirical_master_pareto_front,"[[""R123"", 1], [""R1234ZEZ"", 4], [""R142B"", 5], [""R21"", 38], [""R245FA"", 2]]",94,3627974716,1,94,123456781,3627974716,R123&R1234ZEZ&R142B&R21&R245FA,0.020000;0.080000;0.100000;0.760000;0.040000,4.96132555153,6129344.18152,100779.518459,0,1.0879548171
empirical_master_pareto_front,"[[""R1233ZDE"", 2], [""R1234ZEZ"", 3], [""R142B"", 19], [""R21"", 23], [""R245FA"", 3]]",96,1761676402,1,96,123456781,1761676402,R1233ZDE&R1234ZEZ&R142B&R21&R245FA,0.040000;0.060000;0.380000;0.460000;0.060000,4.64334364929,6355654.15307,107681.024228,0,inf
empirical_master_pareto_front,"[[""R123"", 1], [""R1233ZDE"", 1], [""R142B"", 11], [""R21"", 36], [""R245CA"", 1]]",100,268217778,1,100,123456781,268217778,R123&R1233ZDE&R142B&R21&R245CA,0.020000;0.020000;0.220000;0.720000;0.020000,4.87433816493,6233469.69368,102578.028664,0,0.748593866052
empirical_master_pareto_front,"[[""R1233ZDE"", 1], [""R1234ZEZ"", 2], [""R142B"", 13], [""R21"", 33], [""R245CA"", 1]]",100,268217778,1,100,123456781,268217778,R1233ZDE&R1234ZEZ&R142B&R21&R245CA,0.020000;0.040000;0.260000;0.660000;0.020000,4.82299270362,6333391.70954,103670.071826,0,1.54954488903
